ID,Topic,Content
22,Performance & Growth,An individual learning budget of $150 is allocated to every employee on January 1st annually. [Ref Code: OX-1016]
23,Remote Work & Hours,The core time zone for company-wide all-hands meetings is Eastern Standard Time (EST). [Ref Code: OX-1017]
24,Health & Wellness,Vision insurance covers up to $3000 for prescription lenses or frames every two years. [Ref Code: OX-1018]
25,Office & Security,Physical badge replacement fee is $100 if lost more than twice in a rolling year. [Ref Code: OX-1019]
26,Expense & Travel,Flights under 4 hours must be booked in Economy class using the corporate travel dashboard. [Ref Code: OX-1020]
27,Time Off & Leave,Bereavement leave provides up to 10 days of paid time off for the loss of an immediate family member. [Ref Code: OX-1021]
28,IT & Hardware,Software installation requests must be vetted by security and take up to 2 business days to approve. [Ref Code: OX-1022]
29,Benefits & Perks,The company matches 401(k) contributions dollar-for-dollar up to 6% of your base salary. [Ref Code: OX-1023]
30,Performance & Growth,Annual performance reviews take place every year during the month of June. [Ref Code: OX-1024]
31,Remote Work & Hours,International remote work is restricted to a maximum of 14 days per calendar year. [Ref Code: OX-1025]
32,Health & Wellness,Health Savings Account (HSA) contributions are matched by the company up to $3000 annually. [Ref Code: OX-1026]
33,Office & Security,Visitors must be registered in the Envoy system at least 3 hours prior to arrival. [Ref Code: OX-1027]
34,Expense & Travel,Mileage reimbursement for personal vehicle use is calculated at 62 cents per mile. [Ref Code: OX-1028]
35,Time Off & Leave,Sabbatical leave of 16 weeks is available to employees after completing 4 consecutive years of service. [Ref Code: OX-1029]
36,IT & Hardware,The corporate VPN must be active whenever accessing internal code repositories or databases. [Ref Code: OX-1030]
37,Benefits & Perks,Commuter benefits allow pre-tax transit pass purchases up to $150 per month. [Ref Code: OX-1031]
38,Performance & Growth,Mid-year check-ins are conducted in June to track goals and career progression. [Ref Code: OX-1032]
39,Remote Work & Hours,Employees can work remotely up to 3 days per week with manager approval. [Ref Code: OX-1033]
40,Health & Wellness,Standard medical coverage includes 75% of dental work and 100% of annual wellness checkups. [Ref Code: OX-1034]
41,Office & Security,Secure document shredding bins are located next to every printer station on floors 2 and 5. [Ref Code: OX-1035]
42,Expense & Travel,Travel expenses must be submitted via the Concur portal within 10 days of trip completion. [Ref Code: OX-1036]
43,Time Off & Leave,Sick leave covers up to 14 fully paid days per year for personal illness or family care. [Ref Code: OX-1037]
44,IT & Hardware,"For laptop hardware issues or password resets, open a ticket at help.company.com or call ext. 4357. [Ref Code: OX-1038]"
45,Benefits & Perks,Adoption assistance benefits provide up to $500 for eligible adoption-related expenses. [Ref Code: OX-1039]
46,Performance & Growth,Internal job postings are restricted to employees who have been in their current role for 12 months. [Ref Code: OX-1040]
47,Remote Work & Hours,Core collaboration hours for all teams are 9:00 AM to 3:00 PM EST. [Ref Code: OX-1041]
48,Health & Wellness,"Employees receive a $1000 annual stipend for gym memberships, fitness trackers, or sports gear. [Ref Code: OX-1042]"
49,Office & Security,The office building doors automatically lock at 7 PM on weekdays and remain locked all weekend. [Ref Code: OX-1043]
50,Expense & Travel,Hotel stays for corporate conferences must not exceed $150 per night without VP sign-off. [Ref Code: OX-1044]
51,Time Off & Leave,"Full-time staff members accrue 14 days of vacation time per month, totaling 18 days yearly. [Ref Code: OX-1045]"
52,IT & Hardware,Laptops are eligible for hardware refreshes every 2 years from the initial deployment date. [Ref Code: OX-1046]
53,Benefits & Perks,Tuition reimbursement is available up to $3000 per year for job-related degree programs. [Ref Code: OX-1047]
54,Performance & Growth,A referral bonus of $5000 is paid if your recommended candidate stays with the company for 18 months. [Ref Code: OX-1048]
55,Remote Work & Hours,Flexible Friday hours allow employees to log off at 7 PM if weekly tasks are done. [Ref Code: OX-1049]
56,Health & Wellness,Mental health support is available 24/7 through our Employee Assistance Program (EAP) at 1-800-555-5678. [Ref Code: OX-1050]
57,Office & Security,The office guest Wi-Fi network name is 'HQ_Guest' and the rotating password is 'WelcomeToHQ!'. [Ref Code: OX-1051]
58,Expense & Travel,The daily meal allowance for business travel is capped at $500 including taxes and tips. [Ref Code: OX-1052]
59,Time Off & Leave,Parental leave offers 12 weeks of 100% paid time off for primary and secondary caregivers. [Ref Code: OX-1053]
60,IT & Hardware,Multi-factor authentication (MFA) via the Okta Verify app is mandatory for all system logins. [Ref Code: OX-1054]
61,Benefits & Perks,Complimentary catered lunch is provided in the main cafeteria every Monday and Thursday. [Ref Code: OX-1055]
62,Performance & Growth,An individual learning budget of $150 is allocated to every employee on January 1st annually. [Ref Code: OX-1056]
63,Remote Work & Hours,The core time zone for company-wide all-hands meetings is Eastern Standard Time (EST). [Ref Code: OX-1057]
64,Health & Wellness,Vision insurance covers up to $2500 for prescription lenses or frames every two years. [Ref Code: OX-1058]
65,Office & Security,Physical badge replacement fee is $3000 if lost more than twice in a rolling year. [Ref Code: OX-1059]
66,Expense & Travel,Flights under 4 hours must be booked in Economy class using the corporate travel dashboard. [Ref Code: OX-1060]
67,Time Off & Leave,Bereavement leave provides up to 5 days of paid time off for the loss of an immediate family member. [Ref Code: OX-1061]
68,IT & Hardware,Software installation requests must be vetted by security and take up to 2 business days to approve. [Ref Code: OX-1062]
69,Benefits & Perks,The company matches 401(k) contributions dollar-for-dollar up to 50% of your base salary. [Ref Code: OX-1063]
70,Performance & Growth,Annual performance reviews take place every year during the month of December. [Ref Code: OX-1064]
71,Remote Work & Hours,International remote work is restricted to a maximum of 5 days per calendar year. [Ref Code: OX-1065]
72,Health & Wellness,Health Savings Account (HSA) contributions are matched by the company up to $5000 annually. [Ref Code: OX-1066]
73,Office & Security,Visitors must be registered in the Envoy system at least 24 hours prior to arrival. [Ref Code: OX-1067]
74,Expense & Travel,Mileage reimbursement for personal vehicle use is calculated at 65 cents per mile. [Ref Code: OX-1068]
75,Time Off & Leave,Sabbatical leave of 16 weeks is available to employees after completing 2 consecutive years of service. [Ref Code: OX-1069]
76,IT & Hardware,The corporate VPN must be active whenever accessing internal code repositories or databases. [Ref Code: OX-1070]
77,Benefits & Perks,Commuter benefits allow pre-tax transit pass purchases up to $150 per month. [Ref Code: OX-1071]
78,Performance & Growth,Mid-year check-ins are conducted in June to track goals and career progression. [Ref Code: OX-1072]
79,Remote Work & Hours,Employees can work remotely up to 3 days per week with manager approval. [Ref Code: OX-1073]
80,Health & Wellness,Standard medical coverage includes 4% of dental work and 100% of annual wellness checkups. [Ref Code: OX-1074]
81,Office & Security,Secure document shredding bins are located next to every printer station on floors 3 and 5. [Ref Code: OX-1075]
82,Expense & Travel,Travel expenses must be submitted via the Concur portal within 14 days of trip completion. [Ref Code: OX-1076]
83,Time Off & Leave,Sick leave covers up to 3 fully paid days per year for personal illness or family care. [Ref Code: OX-1077]
84,IT & Hardware,"For laptop hardware issues or password resets, open a ticket at help.company.com or call ext. 8821. [Ref Code: OX-1078]"
85,Benefits & Perks,Adoption assistance benefits provide up to $500 for eligible adoption-related expenses. [Ref Code: OX-1079]
86,Performance & Growth,Internal job postings are restricted to employees who have been in their current role for 6 months. [Ref Code: OX-1080]
87,Remote Work & Hours,Core collaboration hours for all teams are 10:00 AM to 5:00 PM EST. [Ref Code: OX-1081]
88,Health & Wellness,"Employees receive a $1000 annual stipend for gym memberships, fitness trackers, or sports gear. [Ref Code: OX-1082]"
89,Office & Security,The office building doors automatically lock at 7 PM on weekdays and remain locked all weekend. [Ref Code: OX-1083]
90,Expense & Travel,Hotel stays for corporate conferences must not exceed $250 per night without VP sign-off. [Ref Code: OX-1084]
91,Time Off & Leave,"Full-time staff members accrue 14 days of vacation time per month, totaling 18 days yearly. [Ref Code: OX-1085]"
92,IT & Hardware,Laptops are eligible for hardware refreshes every 2 years from the initial deployment date. [Ref Code: OX-1086]
93,Benefits & Perks,Tuition reimbursement is available up to $150 per year for job-related degree programs. [Ref Code: OX-1087]
94,Performance & Growth,A referral bonus of $500 is paid if your recommended candidate stays with the company for 18 months. [Ref Code: OX-1088]
95,Remote Work & Hours,Flexible Friday hours allow employees to log off at 7 PM if weekly tasks are done. [Ref Code: OX-1089]
96,Health & Wellness,Mental health support is available 24/7 through our Employee Assistance Program (EAP) at 1-800-555-4357. [Ref Code: OX-1090]
97,Office & Security,The office guest Wi-Fi network name is 'Office_WiFi' and the rotating password is 'Spring2026!'. [Ref Code: OX-1091]
98,Expense & Travel,The daily meal allowance for business travel is capped at $500 including taxes and tips. [Ref Code: OX-1092]
99,Time Off & Leave,Parental leave offers 12 weeks of 100% paid time off for primary and secondary caregivers. [Ref Code: OX-1093]
100,IT & Hardware,Multi-factor authentication (MFA) via the Okta Verify app is mandatory for all system logins. [Ref Code: OX-1094]
101,Benefits & Perks,Complimentary catered lunch is provided in the main cafeteria every Monday and Thursday. [Ref Code: OX-1095]
102,Performance & Growth,An individual learning budget of $150 is allocated to every employee on January 1st annually. [Ref Code: OX-1096]
103,Remote Work & Hours,The core time zone for company-wide all-hands meetings is Eastern Standard Time (EST). [Ref Code: OX-1097]
104,Health & Wellness,Vision insurance covers up to $100 for prescription lenses or frames every two years. [Ref Code: OX-1098]
105,Office & Security,Physical badge replacement fee is $150 if lost more than twice in a rolling year. [Ref Code: OX-1099]
106,Expense & Travel,Flights under 4 hours must be booked in Economy class using the corporate travel dashboard. [Ref Code: OX-1100]
107,Time Off & Leave,Bereavement leave provides up to 5 days of paid time off for the loss of an immediate family member. [Ref Code: OX-1101]
108,IT & Hardware,Software installation requests must be vetted by security and take up to 2 business days to approve. [Ref Code: OX-1102]
109,Benefits & Perks,The company matches 401(k) contributions dollar-for-dollar up to 5% of your base salary. [Ref Code: OX-1103]
110,Performance & Growth,Annual performance reviews take place every year during the month of October. [Ref Code: OX-1104]
111,Remote Work & Hours,International remote work is restricted to a maximum of 2 days per calendar year. [Ref Code: OX-1105]
112,Health & Wellness,Health Savings Account (HSA) contributions are matched by the company up to $1000 annually. [Ref Code: OX-1106]
113,Office & Security,Visitors must be registered in the Envoy system at least 5 hours prior to arrival. [Ref Code: OX-1107]
114,Expense & Travel,Mileage reimbursement for personal vehicle use is calculated at 62 cents per mile. [Ref Code: OX-1108]
115,Time Off & Leave,Sabbatical leave of 16 weeks is available to employees after completing 4 consecutive years of service. [Ref Code: OX-1109]
116,IT & Hardware,The corporate VPN must be active whenever accessing internal code repositories or databases. [Ref Code: OX-1100]
117,Benefits & Perks,Commuter benefits allow pre-tax transit pass purchases up to $500 per month. [Ref Code: OX-1111]
118,Performance & Growth,Mid-year check-ins are conducted in June to track goals and career progression. [Ref Code: OX-1112]
119,Remote Work & Hours,Employees can work remotely up to 3 days per week with manager approval. [Ref Code: OX-1113]
120,Health & Wellness,Standard medical coverage includes 75% of dental work and 100% of annual wellness checkups. [Ref Code: OX-1114]
121,Office & Security,Secure document shredding bins are located next to every printer station on floors 2 and 4. [Ref Code: OX-1115]
122,Expense & Travel,Travel expenses must be submitted via the Concur portal within 30 days of trip completion. [Ref Code: OX-1116]
123,Time Off & Leave,Sick leave covers up to 10 fully paid days per year for personal illness or family care. [Ref Code: OX-1117]
124,IT & Hardware,"For laptop hardware issues or password resets, open a ticket at help.company.com or call ext. 4357. [Ref Code: OX-1118]"
125,Benefits & Perks,Adoption assistance benefits provide up to $5000 for eligible adoption-related expenses. [Ref Code: OX-1119]
126,Performance & Growth,Internal job postings are restricted to employees who have been in their current role for 12 months. [Ref Code: OX-1120]
127,Remote Work & Hours,Core collaboration hours for all teams are 9:00 AM to 5:00 PM EST. [Ref Code: OX-1121]
128,Health & Wellness,"Employees receive a $150 annual stipend for gym memberships, fitness trackers, or sports gear. [Ref Code: OX-1122]"
129,Office & Security,The office building doors automatically lock at 7 PM on weekdays and remain locked all weekend. [Ref Code: OX-1123]
130,Expense & Travel,Hotel stays for corporate conferences must not exceed $1000 per night without VP sign-off. [Ref Code: OX-1124]
131,Time Off & Leave,"Full-time staff members accrue 14 days of vacation time per month, totaling 18 days yearly. [Ref Code: OX-1125]"
132,IT & Hardware,Laptops are eligible for hardware refreshes every 3 years from the initial deployment date. [Ref Code: OX-1126]
133,Benefits & Perks,Tuition reimbursement is available up to $150 per year for job-related degree programs. [Ref Code: OX-1127]
134,Performance & Growth,A referral bonus of $3000 is paid if your recommended candidate stays with the company for 12 months. [Ref Code: OX-1128]
135,Remote Work & Hours,Flexible Friday hours allow employees to log off at 7 PM if weekly tasks are done. [Ref Code: OX-1129]
136,Health & Wellness,Mental health support is available 24/7 through our Employee Assistance Program (EAP) at 1-800-555-5678. [Ref Code: OX-1130]
137,Office & Security,The office guest Wi-Fi network name is 'HQ_Guest' and the rotating password is 'WelcomeToHQ!'. [Ref Code: OX-1131]
138,Expense & Travel,The daily meal allowance for business travel is capped at $500 including taxes and tips. [Ref Code: OX-1132]
139,Time Off & Leave,Parental leave offers 12 weeks of 100% paid time off for primary and secondary caregivers. [Ref Code: OX-1133]
140,IT & Hardware,Multi-factor authentication (MFA) via the Okta Verify app is mandatory for all system logins. [Ref Code: OX-1134]
141,Benefits & Perks,Complimentary catered lunch is provided in the main cafeteria every Monday and Thursday. [Ref Code: OX-1135]
142,Performance & Growth,An individual learning budget of $150 is allocated to every employee on January 1st annually. [Ref Code: OX-1136]
143,Remote Work & Hours,The core time zone for company-wide all-hands meetings is Eastern Standard Time (EST). [Ref Code: OX-1137]
144,Health & Wellness,Vision insurance covers up to $100 for prescription lenses or frames every two years. [Ref Code: OX-1138]
145,Office & Security,Physical badge replacement fee is $2500 if lost more than twice in a rolling year. [Ref Code: OX-1139]
146,Expense & Travel,Flights under 4 hours must be booked in Economy class using the corporate travel dashboard. [Ref Code: OX-1140]
147,Time Off & Leave,Bereavement leave provides up to 5 days of paid time off for the loss of an immediate family member. [Ref Code: OX-1141]
148,IT & Hardware,Software installation requests must be vetted by security and take up to 2 business days to approve. [Ref Code: OX-1142]
149,Benefits & Perks,The company matches 401(k) contributions dollar-for-dollar up to 50% of your base salary. [Ref Code: OX-1143]
150,Performance & Growth,Annual performance reviews take place every year during the month of October. [Ref Code: OX-1144]
151,Remote Work & Hours,International remote work is restricted to a maximum of 5 days per calendar year. [Ref Code: OX-1145]
152,Health & Wellness,Health Savings Account (HSA) contributions are matched by the company up to $5000 annually. [Ref Code: OX-1146]
153,Office & Security,Visitors must be registered in the Envoy system at least 24 hours prior to arrival. [Ref Code: OX-1147]
154,Expense & Travel,Mileage reimbursement for personal vehicle use is calculated at 65 cents per mile. [Ref Code: OX-1148]
155,Time Off & Leave,Sabbatical leave of 16 weeks is available to employees after completing 2 consecutive years of service. [Ref Code: OX-1149]
156,Office Plants,Personal desktop plants are welcome but must be well-maintained and kept in leak-proof pots to avoid damage.
157,Gym Showers,Showers in the office gym facility are open from 6:00 AM to 8:00 PM and stocked with fresh towels daily.
158,Bike Storage,Secure indoor bicycle storage racks are located on the P1 level of the garage next to the main elevators.
159,Ergonomic Keyboards,Employees can request alternative ergonomic keyboards or vertical mice via the standard IT hardware catalog.
160,Dual Monitors,"Standard desk setups include one monitor, but a second external display can be ordered with manager approval."
161,Noise-Canceling Headphones,Software engineers and support agents can request noise-canceling headsets to help minimize open-office noise.
162,Standing Desks,All motorized height-adjustable standing desks must be reset to their lowest position before leaving on Fridays.
163,Office Recyclables,"Blue bins are strictly for clean paper, cardboard, and plastic bottles. Food waste belongs in the green bins."
164,Battery Disposal,Used office or personal alkaline batteries should be dropped in the red disposal bucket located in the mailroom.
165,Light Bulbs,Report flickering overhead lights or burnt-out desk lamps by messaging the building facilities chat thread.
166,Window Blinds,Automatic window blinds lower daily at 2:00 PM to reduce solar glare and optimize building cooling systems.
167,Space Heaters,Personal plug-in space heaters are strictly banned from individual cubicles due to electrical fire hazards.
168,Desk Fans,Low-wattage personal USB desk fans are permitted if they do not create audible noise for adjacent coworkers.
169,Office Ergonomics,Keep your monitor screen at eye level and roughly an arm's length away to drastically reduce neck fatigue.
170,Local Subways,The corporate office building lobby connects directly to the underground entrance of the City Center transit line.
171,Office Lockout,"If you forget your security badge, visit the visitor desk for a temporary day pass after showing photo ID."
172,Stolen Badges,Lost or stolen security access badges must be reported to building security within 1 hour to deactivate access.
173,Tailgating Rules,Do not allow unknown individuals to walk through secure badge doors behind you without scanning their own card.
174,Window Security,Ground floor perimeter office windows must remain locked shut outside standard operational business hours.
175,Server Rack Keys,Physical keys to individual server enclosures are secured inside a biometric lockbox in the IT office room.
176,Shredder Jams,"If a heavy-duty paper shredder jams, do not attempt to clear it manually. Open a facilities assistance ticket."
177,Keycard Returns,Contractors must return their temporary office keycards to the front desk on their final calendar contract day.
178,Software Updates,Corporate operating system security updates are forced automatically on Tuesday nights at 11:00 PM local time.
179,Browser Policy,Google Chrome and Microsoft Edge are the only officially supported web browsers for accessing corporate tools.
180,Cloud Storage,All project work files must be saved directly to corporate Google Drive or OneDrive cloud storage folders.
181,Local Saving,Storing unencrypted client files on local computer desktop hard drives violates company security frameworks.
182,External Drives,USB flash drives and external hard disks are blocked on corporate laptops unless whitelisted by security teams.
183,Slack Retention,Public Slack channel conversation history is retained for 365 days before being automatically archived.
184,Zoom Backgrounds,"When meeting with external clients, employees should use a clean blurred background or official brand images."
185,Calendar Visibility,Employees must keep their internal calendar availability details visible to all colleagues to simplify scheduling.
186,Email Signatures,"Standard email signatures must follow the marketing design format detailing name, role, and corporate logo."
187,Out of Office,Always set an automated out-of-office email response and delegate a backup contact before starting your vacation.
188,Time Tracking,Hourly contractors must submit their weekly timesheets for approval before Friday at 5:00 PM every week.
189,Late Submissions,Timesheets submitted past the Friday deadline will automatically defer payment processing to the next cycle.
190,Direct Manager Approval,All overtime hours worked by non-exempt staff require written confirmation from a direct manager in advance.
191,Direct Deposit Setup,Changing your direct deposit banking information requires secondary verification via an SMS multifactor code.
192,Tax Form Access,Previous year W-2 and 1099 tax documents can be downloaded from the ADP payroll portal for up to 5 years.
193,Paystub Inquiries,"If you spot a calculation discrepancy on your paystub, email payroll@company.com with your employee ID number."
194,Address Changes,Update your residential address in Workday immediately if you move to ensure accurate state tax withholding.
195,Verification of Jobs,External mortgage companies seeking employment verification must be routed to the automated HR hotline system.
196,Legal Subpoenas,Any legal subpoenas delivered to the office must be brought to the General Counsel's desk immediately.
197,Patent Filings,Innovation designs must be reviewed by internal patent counsel before being showcased at public conferences.
198,Open Source Rules,Contributing code to open-source projects on company time requires a signed intellectual property waiver.
199,Client Contracts,Only executive vice presidents or corporate officers hold the legal authority to sign revenue contracts.
200,NDA Requests,Standard non-disclosure agreement templates can be generated instantly via the legal team's internal portal.
201,Vendor Appraisals,Active vendors undergo an annual performance evaluation focusing on service delivery SLA metrics and pricing.
202,Procurement Bids,"Purchases over $50,000 require a competitive bidding process featuring proposals from at least 3 vendors."
203,Office Cleanliness,Keep common kitchen tables clean by wiping up spills and placing dirty plates directly in the dishwasher.
204,Coffee Machine Care,The last person to pull a coffee cup from the espresso machine is responsible for emptying the grounds tray.
205,Lost Badges Fee,Replacing a lost physical building access badge a second time incurs a nominal $15 administration replacement fee.
206,Final Row Check,This milestone row marks the completion of the 200-row sample corporate policy database for beginner RAG practice.
